prompt_version,model_name,field,tp,fp,fn,precision,recall,f1
v3,gpt-4o,event_type,48,2,0,0.96,0.96,0.96
v3,gpt-4o,event_time,25,11,1,0.6944,0.6944,0.6944
v3,gpt-4o,meal_type,32,9,1,0.7805,0.9143,0.8421
v3,gpt-4o,attendee_count,45,5,0,0.9,0.9375,0.9184
v3,gpt-4o,external_guests,27,14,0,0.6585,0.7941,0.72
v3,gpt-4o,catering_type,25,23,0,0.5208,0.9259,0.6667
v3,gpt-4o,office_location,24,2,0,0.9231,1.0,0.96
v3,gpt-4o,dietary_requirements,19,8,0,0.7037,0.76,0.7308
v3,gpt-4o,room_location,42,3,2,0.9333,0.9333,0.9333
v3,gpt-4o,av_equipment,8,1,0,0.8889,1.0,0.9412
v3,gpt-4o,extra_arrangements,7,2,15,0.7778,0.3043,0.4375
v3,gpt-4o-mini,event_date,50,0,0,1.0,1.0,1.0
v3,gpt-4o-mini,event_type,47,3,0,0.94,0.94,0.94
v3,gpt-4o-mini,event_time,24,13,2,0.6486,0.6667,0.6575
v3,gpt-4o-mini,meal_type,32,16,1,0.6667,0.9143,0.7711
v3,gpt-4o-mini,attendee_count,46,4,0,0.92,0.9583,0.9388
v3,gpt-4o-mini,external_guests,30,8,1,0.7895,0.8824,0.8333
v3,gpt-4o-mini,catering_type,25,24,0,0.5102,0.9259,0.6579
v3,gpt-4o-mini,office_location,24,2,0,0.9231,1.0,0.96
v3,gpt-4o-mini,dietary_requirements,16,8,3,0.6667,0.64,0.6531
v3,gpt-4o-mini,room_location,38,2,6,0.95,0.8444,0.8941
v3,gpt-4o-mini,av_equipment,8,1,0,0.8889,1.0,0.9412
v3,gpt-4o-mini,extra_arrangements,10,3,13,0.7692,0.4348,0.5556
v3,gpt-4.1-nano,event_date,50,0,0,1.0,1.0,1.0
v3,gpt-4.1-nano,event_type,48,2,0,0.96,0.96,0.96
v3,gpt-4.1-nano,event_time,26,13,0,0.6667,0.7222,0.6933
v3,gpt-4.1-nano,meal_type,31,16,2,0.6596,0.8857,0.7561
v3,gpt-4.1-nano,attendee_count,47,3,0,0.94,0.9792,0.9592
v3,gpt-4.1-nano,external_guests,24,9,5,0.7273,0.7059,0.7164
v3,gpt-4.1-nano,catering_type,23,25,0,0.4792,0.8519,0.6133
v3,gpt-4.1-nano,office_location,23,6,1,0.7931,0.9583,0.8679
v3,gpt-4.1-nano,dietary_requirements,20,7,0,0.7407,0.8,0.7692
v3,gpt-4.1-nano,room_location,38,4,4,0.9048,0.8444,0.8736
v3,gpt-4.1-nano,av_equipment,7,3,0,0.7,0.875,0.7778
v3,gpt-4.1-nano,extra_arrangements,9,9,10,0.5,0.3913,0.439
